"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Azerbaijan","2014","Female","Not applicable","Percent","87.21197"
"Azerbaijan","2014","Male","Not applicable","Percent","88.78697"
"Azerbaijan","2013","Male","Not applicable","Percent","88.62972"
"Azerbaijan","2013","Female","Not applicable","Percent","86.55025"
"Azerbaijan","2013","All genders","Not applicable","Percent","87.64969"
"Azerbaijan","2012","All genders","Not applicable","Percent","86.80792"
"Azerbaijan","2012","Female","Not applicable","Percent","85.9286"
"Azerbaijan","2012","Male","Not applicable","Percent","87.59708"
"Azerbaijan","2011","Male","Not applicable","Percent","87.12535"
"Azerbaijan","2011","Female","Not applicable","Percent","84.91275"
"Azerbaijan","2011","All genders","Not applicable","Percent","86.07425"
"Azerbaijan","2010","All genders","Not applicable","Percent","86.02738"
"Azerbaijan","2010","Female","Not applicable","Percent","85.01037"
"Azerbaijan","2010","Male","Not applicable","Percent","86.9564"
"Azerbaijan","2009","Male","Not applicable","Percent","86.65325"
"Azerbaijan","2009","Female","Not applicable","Percent","86.95659"
"Azerbaijan","2009","All genders","Not applicable","Percent","86.79877"
"Azerbaijan","2008","All genders","Not applicable","Percent","86.81016"
"Azerbaijan","2008","Female","Not applicable","Percent","85.92156"
"Azerbaijan","2008","Male","Not applicable","Percent","87.63525"
"Azerbaijan","2007","Male","Not applicable","Percent","87.01816"
"Azerbaijan","2007","Female","Not applicable","Percent","84.26367"
"Azerbaijan","2007","All genders","Not applicable","Percent","85.67907"
"Azerbaijan","2006","All genders","Not applicable","Percent","86.01537"
"Azerbaijan","2006","Female","Not applicable","Percent","84.51048"
"Azerbaijan","2006","Male","Not applicable","Percent","87.44363"
"Bahamas","2010","Male","Not applicable","Percent","79.74184"
"Bahamas","2010","All genders","Not applicable","Percent","82.68537"
"Bahamas","2010","Female","Not applicable","Percent","85.68555"
"Bahamas","2009","Female","Not applicable","Percent","85.90347"
"Bahamas","2009","Male","Not applicable","Percent","82.16495"
"Bahamas","2009","All genders","Not applicable","Percent","84.01834"
"Bahamas","2008","All genders","Not applicable","Percent","86.13475"
"Bahamas","2008","Male","Not applicable","Percent","84.47909"
"Bahamas","2008","Female","Not applicable","Percent","87.81459"
"Bahamas","2007","Female","Not applicable","Percent","89.34041"
"Bahamas","2007","Male","Not applicable","Percent","85.2574"
"Bahamas","2007","All genders","Not applicable","Percent","87.28677"
"Bahamas","2006","All genders","Not applicable","Percent","84.92215"
"Bahamas","2006","Male","Not applicable","Percent","84.3217"
"Bahamas","2006","Female","Not applicable","Percent","85.52854"
"Bahamas","2005","Female","Not applicable","Percent","83.1806"
"Bahamas","2005","Male","Not applicable","Percent","82.62749"
"Bahamas","2005","All genders","Not applicable","Percent","82.90294"
"Bahamas","2004","All genders","Not applicable","Percent","79.61817"
"Bahamas","2004","Male","Not applicable","Percent","79.11756"
"Bahamas","2004","Female","Not applicable","Percent","80.12123"
"Bahamas","1999","Female","Not applicable","Percent","70.44788"
"Bahamas","1999","Male","Not applicable","Percent","71.22683"
"Bahamas","1999","All genders","Not applicable","Percent","70.83905"
"Bahamas","1994","All genders","Not applicable","Percent","85.76726"
"Bahamas","1993","Male","Not applicable","Percent","88.32462"
"Bahamas","1993","All genders","Not applicable","Percent","89.39219"
"Bahamas","1993","Female","Not applicable","Percent","90.49794"
"Bahamas","1992","All genders","Not applicable","Percent","89.13072"
"Bahamas","1992","Male","Not applicable","Percent","87.87031"
"Bahamas","1992","Female","Not applicable","Percent","90.43972"
"Bahamas","1984","All genders","Not applicable","Percent","90.4494"
"Bahamas","1981","All genders","Not applicable","Percent","90.39679"
"Bahrain","2006","All genders","Not applicable","Percent","90.9026"
"Bahrain","2006","Male","Not applicable","Percent","88.58636"
"Bahrain","2006","Female","Not applicable","Percent","93.34329"
"Bahrain","2005","All genders","Not applicable","Percent","91.24095"
"Bahrain","2004","All genders","Not applicable","Percent","89.91911"
"Bahrain","2003","All genders","Not applicable","Percent","88.12247"
"Bahrain","2002","All genders","Not applicable","Percent","87.94388"
"Bahrain","2001","All genders","Not applicable","Percent","91.27759"
"Bahrain","2000","All genders","Not applicable","Percent","90.54411"
"Bahrain","2000","Male","Not applicable","Percent","87.00458"
"Bahrain","2000","Female","Not applicable","Percent","94.26196"
"Bahrain","1999","Female","Not applicable","Percent","90.21575"
"Bahrain","1999","Male","Not applicable","Percent","83.19282"
"Bahrain","1999","All genders","Not applicable","Percent","86.63216"
"Bahrain","1998","All genders","Not applicable","Percent","86.67099"
"Bahrain","1998","Male","Not applicable","Percent","83.75932"
"Bahrain","1998","Female","Not applicable","Percent","89.71539"
"Bahrain","1997","Female","Not applicable","Percent","89.98665"
"Bahrain","1997","Male","Not applicable","Percent","82.10988"
"Bahrain","1997","All genders","Not applicable","Percent","85.95271"
"Bahrain","1995","All genders","Not applicable","Percent","91.99864"
"Bahrain","1995","Male","Not applicable","Percent","89.81523"
"Bahrain","1995","Female","Not applicable","Percent","94.29705"
"Bahrain","1994","Female","Not applicable","Percent","93.64711"
"Bahrain","1994","Male","Not applicable","Percent","87.77992"
"Bahrain","1994","All genders","Not applicable","Percent","90.62707"
"Bahrain","1992","All genders","Not applicable","Percent","84.78922"
"Bahrain","1989","All genders","Not applicable","Percent","75.86024"
"Bahrain","1989","Male","Not applicable","Percent","75.36709"
"Bahrain","1989","Female","Not applicable","Percent","76.37131"
"Bahrain","1987","Female","Not applicable","Percent","73.71632"
"Bahrain","1987","Male","Not applicable","Percent","74.06099"
"Bahrain","1987","All genders","Not applicable","Percent","73.89147"
"Bahrain","1986","All genders","Not applicable","Percent","76.87449"
"Bahrain","1986","Male","Not applicable","Percent","77.66265"
"Bahrain","1986","Female","Not applicable","Percent","76.06356"
"Bahrain","1985","Female","Not applicable","Percent","71.9228"
"Bahrain","1985","Male","Not applicable","Percent","73.36316"
"Bahrain","1985","All genders","Not applicable","Percent","72.65131"
"Bahrain","1984","All genders","Not applicable","Percent","67.11283"
"Bahrain","1984","Male","Not applicable","Percent","67.5101"
"Bahrain","1984","Female","Not applicable","Percent","66.70629"
"Bahrain","1983","Female","Not applicable","Percent","66.55383"
"Bahrain","1983","Male","Not applicable","Percent","73.18342"
"Bahrain","1983","All genders","Not applicable","Percent","69.90146"
"Bahrain","1982","All genders","Not applicable","Percent","58.73478"
"Bahrain","1982","Male","Not applicable","Percent","61.43493"
"Bahrain","1982","Female","Not applicable","Percent","56.03"
"Bahrain","1979","Female","Not applicable","Percent","49.2105"
"Bahrain","1979","Male","Not applicable","Percent","52.3232"
"Bahrain","1979","All genders","Not applicable","Percent","50.75408"
"Bahrain","1978","All genders","Not applicable","Percent","47.27457"
"Bahrain","1978","Male","Not applicable","Percent","48.35856"
"Bahrain","1978","Female","Not applicable","Percent","46.1813"
"Bahrain","1977","Female","Not applicable","Percent","44.60422"
"Bahrain","1977","Male","Not applicable","Percent","44.34336"
"Bahrain","1977","All genders","Not applicable","Percent","44.4714"
"Bangladesh","2013","All genders","Not applicable","Percent","52.59709"
"Bangladesh","2013","Female","Not applicable","Percent","54.78926"
"Bangladesh","2013","Male","Not applicable","Percent","50.49555"
"Bangladesh","2012","Male","Not applicable","Percent","44.92922"
"Bangladesh","2012","Female","Not applicable","Percent","51.51735"
"Bangladesh","2012","All genders","Not applicable","Percent","48.15595"
"Bangladesh","2011","All genders","Not applicable","Percent","45.87797"
"Bangladesh","2011","Female","Not applicable","Percent","49.32452"
"Bangladesh","2011","Male","Not applicable","Percent","42.56733"
"Bangladesh","2010","Male","Not applicable","Percent","43.66055"
"Bangladesh","2010","Female","Not applicable","Percent","48.94734"
"Bangladesh","2010","All genders","Not applicable","Percent","46.25018"
"Bangladesh","2009","All genders","Not applicable","Percent","44.98673"
"Bangladesh","2009","Female","Not applicable","Percent","46.85579"
"Bangladesh","2009","Male","Not applicable","Percent","43.1903"
"Bangladesh","2007","Male","Not applicable","Percent","42.90876"
"Bangladesh","2007","Female","Not applicable","Percent","45.26831"
"Bangladesh","2007","All genders","Not applicable","Percent","44.06557"
"Bangladesh","2006","All genders","Not applicable","Percent","43.25932"
"Bangladesh","2006","Male","Not applicable","Percent","42.03833"
"Bangladesh","2006","Female","Not applicable","Percent","44.52983"
"Bangladesh","2005","Female","Not applicable","Percent","44.0322"
"Bangladesh","2005","Male","Not applicable","Percent","41.20892"
"Bangladesh","2005","All genders","Not applicable","Percent","42.59117"
"Bangladesh","2004","All genders","Not applicable","Percent","43.85653"
"Bangladesh","2004","Male","Not applicable","Percent","43.22625"
"Bangladesh","2004","Female","Not applicable","Percent","44.51425"
"Bangladesh","2003","Female","Not applicable","Percent","49.42389"
"Bangladesh","2003","Male","Not applicable","Percent","44.82059"
"Bangladesh","2003","All genders","Not applicable","Percent","47.07322"
"Bangladesh","2002","All genders","Not applicable","Percent","47.27697"
"Bangladesh","2002","Male","Not applicable","Percent","45.131"
"Bangladesh","2002","Female","Not applicable","Percent","49.51494"
"Bangladesh","2001","Female","Not applicable","Percent","47.94619"
"Bangladesh","2001","Male","Not applicable","Percent","44.44036"
"Bangladesh","2001","All genders","Not applicable","Percent","46.15699"
"Bangladesh","2000","All genders","Not applicable","Percent","44.90648"
"Bangladesh","2000","Male","Not applicable","Percent","44.32521"
"Bangladesh","2000","Female","Not applicable","Percent","45.51226"
"Bangladesh","1999","Female","Not applicable","Percent","43.32114"
"Bangladesh","1999","Male","Not applicable","Percent","43.8541"
"Bangladesh","1999","All genders","Not applicable","Percent","43.59311"
"Bangladesh","1998","All genders","Not applicable","Percent","40.55367"
"Bangladesh","1998","Male","Not applicable","Percent","41.85066"
"Bangladesh","1998","Female","Not applicable","Percent","39.20298"
"Bangladesh","1987","All genders","Not applicable","Percent","19.13941"
"Bangladesh","1983","All genders","Not applicable","Percent","18.89447"
"Bangladesh","1981","All genders","Not applicable","Percent","15.58325"
"Bangladesh","1981","Male","Not applicable","Percent","24.88029"
"Bangladesh","1981","Female","Not applicable","Percent","6.01775"
"Bangladesh","1977","Female","Not applicable","Percent","6.33159"
"Bangladesh","1977","All genders","Not applicable","Percent","14.17506"
"Bangladesh","1977","Male","Not applicable","Percent","21.81941"
"Bangladesh","1976","All genders","Not applicable","Percent","16.1555"
"Barbados","2014","All genders","Not applicable","Percent","99.42875"
"Barbados","2011","All genders","Not applicable","Percent","88.81115"
"Barbados","2011","Male","Not applicable","Percent","86.14252"
"Barbados","2011","Female","Not applicable","Percent","91.55726"
"Barbados","2010","Female","Not applicable","Percent","85.16757"
"Barbados","2010","Male","Not applicable","Percent","85.19744"
"Barbados","2010","All genders","Not applicable","Percent","85.18267"
"Barbados","2009","All genders","Not applicable","Percent","84.39782"
"Barbados","2009","Male","Not applicable","Percent","83.8554"
"Barbados","2009","Female","Not applicable","Percent","84.94983"
"Barbados","2008","Female","Not applicable","Percent","88.92798"
"Barbados","2008","Male","Not applicable","Percent","87.54848"
"Barbados","2008","All genders","Not applicable","Percent","88.23348"
"Barbados","2007","All genders","Not applicable","Percent","92.13374"
"Barbados","2007","Male","Not applicable","Percent","90.52258"
"Barbados","2007","Female","Not applicable","Percent","93.76477"
"Barbados","2006","Female","Not applicable","Percent","91.76206"
"Barbados","2006","Male","Not applicable","Percent","91.73729"
"Barbados","2006","All genders","Not applicable","Percent","91.74959"
"Barbados","2005","All genders","Not applicable","Percent","92.20516"
"Barbados","2005","Male","Not applicable","Percent","92.36495"
"Barbados","2005","Female","Not applicable","Percent","92.0429"
"Barbados","2004","Female","Not applicable","Percent","95.14038"
"Barbados","2004","Male","Not applicable","Percent","91.0367"
"Barbados","2004","All genders","Not applicable","Percent","93.06996"
"Barbados","2003","All genders","Not applicable","Percent","89.50813"
"Barbados","2003","Male","Not applicable","Percent","89.82662"
"Barbados","2003","Female","Not applicable","Percent","89.18286"
"Barbados","2002","Female","Not applicable","Percent","87.19142"
"Barbados","2002","Male","Not applicable","Percent","88.10277"
"Barbados","2002","All genders","Not applicable","Percent","87.65247"
"Barbados","2001","All genders","Not applicable","Percent","86.52148"
"Barbados","2001","Male","Not applicable","Percent","87.85239"
"Barbados","2001","Female","Not applicable","Percent","85.15389"
"Barbados","2000","Female","Not applicable","Percent","91.26437"
"Barbados","2000","Male","Not applicable","Percent","92.50754"
"Barbados","2000","All genders","Not applicable","Percent","91.89429"
"Barbados","1999","All genders","Not applicable","Percent","94.89026"
"Barbados","1990","All genders","Not applicable","Percent","78.88106"
"Barbados","1990","Male","Not applicable","Percent","83.97328"
"Barbados","1990","Female","Not applicable","Percent","73.66335"
"Barbados","1989","Female","Not applicable","Percent","84.04446"
"Barbados","1989","All genders","Not applicable","Percent","81.8244"
"Barbados","1989","Male","Not applicable","Percent","79.64805"
"Barbados","1985","Male","Not applicable","Percent","86.69291"
"Barbados","1985","All genders","Not applicable","Percent","87.78487"
"Barbados","1985","Female","Not applicable","Percent","88.88889"
"Barbados","1984","Female","Not applicable","Percent","85.20699"
"Barbados","1984","All genders","Not applicable","Percent","83.93738"
"Barbados","1984","Male","Not applicable","Percent","82.68135"
"Barbados","1983","Male","Not applicable","Percent","81.67053"
"Barbados","1983","All genders","Not applicable","Percent","82.89316"
"Barbados","1983","Female","Not applicable","Percent","84.12849"
"Barbados","1982","Female","Not applicable","Percent","86.15606"
"Barbados","1982","All genders","Not applicable","Percent","82.89461"
"Barbados","1982","Male","Not applicable","Percent","79.66605"
"Barbados","1981","Male","Not applicable","Percent","84.47069"
"Barbados","1981","All genders","Not applicable","Percent","84.58808"
"Barbados","1981","Female","Not applicable","Percent","84.70675"
"Barbados","1978","All genders","Not applicable","Percent","80.43386"
"Barbados","1978","Male","Not applicable","Percent","76.95353"
"Barbados","1978","Female","Not applicable","Percent","84.10965"
"Belarus","2014","All genders","Not applicable","Percent","99.46545"
"Belarus","2013","All genders","Not applicable","Percent","98.14015"
"Belarus","2012","All genders","Not applicable","Percent","96.18483"
"Belarus","2012","Male","Not applicable","Percent","95.94673"
"Belarus","2012","Female","Not applicable","Percent","96.43679"
"Belarus","2011","Female","Not applicable","Percent","94.47183"
"Belarus","2011","Male","Not applicable","Percent","94.00909"
"Belarus","2011","All genders","Not applicable","Percent","94.23383"
"Belarus","2010","All genders","Not applicable","Percent","93.88607"
"Belarus","2010","Male","Not applicable","Percent","93.74672"
"Belarus","2010","Female","Not applicable","Percent","94.03363"
"Belgium","2014","Female","Not applicable","Percent","95.67938"
"Belgium","2014","All genders","Not applicable","Percent","95.2856"
"Belgium","2014","Male","Not applicable","Percent","94.90775"
"Belgium","2013","Male","Not applicable","Percent","94.45587"
"Belgium","2013","All genders","Not applicable","Percent","94.90897"
"Belgium","2013","Female","Not applicable","Percent","95.38101"
"Belgium","2005","Female","Not applicable","Percent","84.13753"
"Belgium","2005","All genders","Not applicable","Percent","85.664"
"Belgium","2005","Male","Not applicable","Percent","87.12215"
"Belgium","2004","All genders","Not applicable","Percent","85.7732"
"Belgium","2004","Female","Not applicable","Percent","83.84472"
"Belgium","2004","Male","Not applicable","Percent","87.61636"
"Belgium","1996","Male","Not applicable","Percent","96.92889"
"Belgium","1996","Female","Not applicable","Percent","97.53089"
"Belgium","1996","All genders","Not applicable","Percent","97.22319"
"Belgium","1995","All genders","Not applicable","Percent","98.79733"
"Belgium","1995","Female","Not applicable","Percent","98.77434"
"Belgium","1995","Male","Not applicable","Percent","98.81934"
"Belgium","1994","Male","Not applicable","Percent","97.99192"
"Belgium","1994","Female","Not applicable","Percent","98.03277"
"Belgium","1994","All genders","Not applicable","Percent","98.0119"
"Belgium","1993","All genders","Not applicable","Percent","96.36156"
"Belgium","1993","Female","Not applicable","Percent","96.26973"
"Belgium","1993","Male","Not applicable","Percent","96.44949"
"Belgium","1977","Male","Not applicable","Percent","75.72831"
"Belgium","1977","Female","Not applicable","Percent","79.25169"
"Belgium","1977","All genders","Not applicable","Percent","77.45255"
"Belize","2014","Male","Not applicable","Percent","67.33184"
"Belize","2014","All genders","Not applicable","Percent","69.32601"
"Belize","2014","Female","Not applicable","Percent","71.32569"
"Belize","2013","Female","Not applicable","Percent","71.09695"
"Belize","2013","All genders","Not applicable","Percent","69.20813"
"Belize","2013","Male","Not applicable","Percent","67.32285"
"Belize","2012","Male","Not applicable","Percent","66.18434"
"Belize","2012","All genders","Not applicable","Percent","67.51124"
"Belize","2012","Female","Not applicable","Percent","68.8409"
"Belize","2011","Female","Not applicable","Percent","67.63959"
