location,title,company,summary,salary,loc_code,comp_code,high_salary,experience
CA,lead data scientist,Enterprise Select,passionate machine learning big data medical diagnostics challenging scientific research problem opportunity lifetime,150000,1,16,1,11
MA,sr  data scientist,Huxley Associates,extensive experience 7 year big data analytics machine learning modeling responsibility senior data scientist,175000,8,25,1,8
CA,sr  data scientist,3coast,research industry trend big data machine learning recommendation personalization deep learning adopt latest greatest within branch,175000,1,0,1,8
CA,sr  data scientist,"TW STAFFING SOLUTIONS,INC",senior data scientist artificial intelligence ai relocation available san jose california phd computer scienceengineering,175000,1,47,1,7.8
CA,sr  data scientist,Harnham,statistic data visualization experience harnham exclusively partnering leading enterprise social listening platform search senior,160000,1,22,1,6.9
NY,sr  data scientist,Analytic Recruiting,data science python r big data model modeler statistic research senior data scientist needed data science based medium analytics optimization,120000,12,3,0,7
CA,sr  data scientist,Workbridge Associates,statistical modeling machine learning experience leading san francisco consumer web personalized shopping company looking add data scientist,155000,1,52,1,7.5
CA,sr  data scientist,Harnham,senior data scientist role senior data scientist build deploy model focusing machine learning experience r h2o shiny,180000,1,22,1,7.6
DC,sr  data scientist,Workbridge Associates,leading provider data technology company support promote free enterprise looking bring data scientist analytics team,125000,3,52,0,8
VA,sr  data scientist,ZP Group,data big data petabyte phd statistic computer science machine learning engineering image classification neural network data processing algorithm,190000,17,55,1,9
WA,sr  data scientist,Smith Hanley Associates,senior data scientist deep learning graphical modeling nlp learning rank data mining web mining given flexibility pursue interesting,160000,18,43,1,8
CA,sr  data scientist,Workbridge Associates,fast paced startup mountain view taking social medium marketing looking senior data scientist join rank pay 200k,200000,1,52,1,7.8
MA,sr  data scientist,Huxley Associates,global insurance provider looking senior data scientist join growing data analytics group,140000,8,25,0,6.9
NY,sr  data scientist,Jobspring Partners,minimum 3 year experience data science data analytics role product data scientist need strong opinion analytics tool,135000,12,27,0,7.5
IL,sr  data scientist,Workbridge Associates,ideal candidate strong sense predictive modeling machine learning experience hand using python r hadoop spark,130000,7,52,0,8.3
CA,sr  data scientist,Elevano,client well funded fintech company leaning heavily machine learning algorithm deliver liver customized analytics customer,160000,1,15,1,8.5
NY,sr  data scientist,Analytic Recruiting,insurance analytics statistic statistician statistical model modeler sa r python risk underwriting data science,160000,12,3,1,7.9
NY,sr  data scientist,Oliver James Associates,work closely data engineer bi expert develop streamlined efficient robust data architecture meet business need data,170000,12,35,1,7
NY,sr  data scientist,All-In Analytics,position provide thought leadership project management crossfunctional team deliver complex analytical project solve important,145000,12,2,1,7
CA,sr  data scientist,Workbridge Associates,background python r machine learning hadoop spark bayesian modeling solution come preloaded comprehensive library bankingspecific,180000,1,52,1,8
NY,sr  data scientist,Harnham,expected adopt handson approach working large scale structured unstructured clinical data well mentoring data,170000,12,22,1,7.8
NY,sr  data scientist,Harnham,senior data scientist modeling senior data scientist medium computer science machine learning modeling data engineering,150000,12,22,1,6.9
CA,sr  data scientist,Harnham,senior data scientist nlp linguistics statistic data visualization experience role senior data scientist nlp linguistics,155000,1,22,1,7.5
NY,sr  data scientist,Harnham,senior data scientist nlp machine learning essentially manage solution production development conception delivery including data,180000,12,22,1,8
NY,sr  data scientist,Venturi Ltd,data scientist fintech python r machine learning big data engineer hadoop cloudera sql nosql hortonworks java data science analyst analytics phd,117500,12,49,0,7
NY,sr  data scientist,Venturi Ltd,data scientist fintech python r machine learning big data engineer hadoop cloudera sql nosql hortonworks java data science analyst analytics phd,160000,12,49,1,8.5
CA,sr  data scientist,Workbridge Associates,excellent opportunity junior fullstack data scientist want entire modeling data pipeline seek opportunity,170000,1,52,1,8
NY,sr  data scientist,Averity,programming statistical language creating model algorithm utilizing statistical analysis machine learning technique gather,167500,12,5,1,9
NY,sr  data scientist,Averity,data scientist analytics team join team experienced data scientist responsible providing advanced analytics support strategic,110000,12,5,0,8
CA,sr  data scientist,Workbridge Associates,leading provider mortgage software solution founded new highvisibility data engineering machine learning organization seeking data,150000,1,52,1,6.9
CA,sr  data scientist,Workbridge Associates,leading provider mortgage software solution founded new highvisibility data engineering machine learning organization seeking data,200000,1,52,1,7.5
TX,sr  data scientist,Lawrence Harvey,candidate 7 year master candidatesminimum 5 year work experience relevant domain energy oil gas chemical natural resource mining,190000,16,30,1,8
PA,sr  data scientist,Smith Hanley Associates,master degree operation research applied statistic data mining machine learning physic related quantitative discipline,120000,15,43,0,8.5
NY,sr  data scientist,PMES,data manipulation analysis using sql nosql java c sa machine learning suite mahout weka rapidminer,155000,12,36,1,7
TX,sr  data scientist,"Horn Solutions, Inc.",clearly communicate business technical benefit analytics visualization business technical audience,105000,16,24,0,8
CA,sr  data scientist,Redfish Technology,solution architect responsible leading team consisting highly skilled data engineer data scientist andor data strategist design,250000,1,40,1,9
CA,sr  data scientist,ConSol Partners,leading content discovery platform seeking senior data scientist join evolving entrepreneurial big data team rapidly growing organization,160000,1,9,1,7.5
CA,sr  data scientist,TERADEEP INC.,phd degree computer science applied mathematics computer engineering applied physic related quantitative field 510 year relevant,140000,1,46,0,8
