age,workclass,education-num,hrs per week,salary
52, Self-emp-not-inc,16,60, >50K
50, Self-emp-inc,16,40, >50K
35, Private,16,40, >50K
27, Private,10,40, <=50K
43, Local-gov,14,38, <=50K
42, Private,12,40, >50K
45, Local-gov,13,55, <=50K
42, Private,10,50, <=50K
20, Private,10,20, <=50K
35, Private,14,60, >50K
30, Private,13,40, <=50K
36, Local-gov,13,50, <=50K
46, Private,16,65, >50K
28, Private,13,40, <=50K
36, Private,13,40, <=50K
29, Private,13,40, <=50K
43, Private,13,40, >50K
43, State-gov,13,50, <=50K
42, Local-gov,13,40, >50K
46, State-gov,13,37, <=50K
22, Private,13,20, <=50K
33, Local-gov,13,45, <=50K
34, Private,14,40, <=50K
33, Private,13,47, >50K
64, Private,13,40, >50K
41, Private,11,60, <=50K
31, Private,14,46, <=50K
41, Private,13,50, >50K
51, Private,10,40, >50K
62, Local-gov,13,48, <=50K
43, Private,10,40, <=50K
61, Private,14,40, >50K
26, Private,13,40, <=50K
48, State-gov,16,50, >50K
34, Private,13,40, <=50K
29, Self-emp-not-inc,13,40, <=50K
37, Private,13,50, >50K
40, Private,14,40, <=50K
24, Private,13,15, <=50K
43, Private,14,50, <=50K
47, Private,14,25, <=50K
41, Private,15,40, >50K
44, State-gov,9,40, >50K
25, Private,10,45, <=50K
40, State-gov,14,35, >50K
51, Private,10,40, <=50K
45, Private,14,45, <=50K
50, Private,16,65, >50K
38, State-gov,9,40, >50K
23, Local-gov,13,60, <=50K
42, Private,10,44, >50K
38, Private,14,25, <=50K
48, Local-gov,14,35, >50K
30, Private,13,45, <=50K
28, Private,15,55, <=50K
36, Private,13,50, >50K
49, Local-gov,14,40, >50K
35, Private,15,80, >50K
22, Local-gov,13,20, <=50K
48, State-gov,16,46, >50K
43, State-gov,11,40, >50K
43, Private,13,40, <=50K
41, Federal-gov,12,40, >50K
31, Private,16,60, <=50K
22, Self-emp-not-inc,13,20, <=50K
43, Private,10,40, <=50K
34, Self-emp-not-inc,12,25, >50K
31, Private,13,47, <=50K
58, Local-gov,13,40, >50K
53, Private,13,40, <=50K
28, Private,13,45, <=50K
33, Private,14,44, >50K
28, State-gov,14,50, >50K
50, Private,13,40, >50K
88, Self-emp-not-inc,15,40, <=50K
50, State-gov,9,48, >50K
36, Private,13,40, <=50K
27, Local-gov,13,35, <=50K
49, Local-gov,13,40, <=50K
51, Local-gov,12,60, <=50K
59, Private,14,55, <=50K
30, Local-gov,13,50, >50K
54, Private,16,45, >50K
38, Private,15,40, >50K
36, Private,13,60, >50K
75, Self-emp-not-inc,15,35, <=50K
46, Private,13,40, >50K
35, Private,14,45, >50K
54, Self-emp-inc,15,60, >50K
43, Federal-gov,13,40, >50K
38, Private,13,40, >50K
42, Federal-gov,12,40, >50K
46, Private,14,35, <=50K
36, Self-emp-not-inc,15,50, <=50K
28, Private,13,40, <=50K
35, Private,16,40, >50K
41, State-gov,13,40, >50K
57, Private,15,60, <=50K
51, Private,11,40, >50K
33, Private,10,16, <=50K
39, Private,13,40, <=50K
28, State-gov,15,40, <=50K
57, Private,14,40, <=50K
34, Private,10,50, >50K
25, Local-gov,13,45, <=50K
39, Private,13,40, >50K
31, Private,13,40, >50K
41, Self-emp-not-inc,14,35, <=50K
41, Self-emp-inc,15,60, >50K
40, Private,12,36, >50K
25, Private,13,40, <=50K
28, Local-gov,13,40, <=50K
69, State-gov,14,11, <=50K
43, Local-gov,13,40, >50K
25, Private,10,40, <=50K
30, Self-emp-not-inc,11,65, >50K
37, Self-emp-inc,13,35, >50K
66, Self-emp-not-inc,11,50, <=50K
26, Local-gov,13,55, <=50K
30, Private,12,40, <=50K
62, Private,15,70, <=50K
62, Private,16,40, >50K
32, Local-gov,13,50, <=50K
26, Local-gov,13,40, <=50K
55, Private,14,50, >50K
33, Private,9,60, >50K
22, State-gov,10,20, <=50K
36, Private,12,30, >50K
45, Private,14,36, >50K
60, Private,9,40, >50K
46, Private,15,60, >50K
61, Self-emp-not-inc,15,35, >50K
34, Self-emp-inc,13,60, >50K
42, Private,13,45, >50K
48, Private,14,40, >50K
65, State-gov,14,35, >50K
55, Self-emp-not-inc,15,10, <=50K
44, Private,13,50, >50K
43, Private,13,40, <=50K
46, Private,15,60, >50K
44, Private,16,40, >50K
54, Private,14,60, <=50K
41, Private,14,45, >50K
49, Private,14,50, >50K
32, Private,13,40, <=50K
42, Private,10,50, >50K
49, Private,13,20, >50K
42, Local-gov,13,45, >50K
35, Local-gov,14,35, >50K
38, Self-emp-inc,15,40, >50K
50, State-gov,14,38, <=50K
22, Self-emp-not-inc,9,40, >50K
46, Local-gov,10,24, <=50K
42, State-gov,14,38, <=50K
34, Private,13,40, <=50K
25, Local-gov,13,40, <=50K
44, State-gov,14,60, <=50K
32, Self-emp-not-inc,13,45, >50K
44, Self-emp-not-inc,9,40, >50K
34, Private,14,55, >50K
23, Private,13,50, <=50K
45, Local-gov,14,45, <=50K
26, Self-emp-not-inc,14,50, <=50K
25, Local-gov,13,35, <=50K
57, Private,14,80, <=50K
38, Local-gov,13,40, <=50K
57, Private,14,40, <=50K
29, State-gov,13,25, <=50K
30, Private,13,40, <=50K
26, Private,13,50, <=50K
51, Local-gov,14,40, >50K
50, Private,14,45, >50K
26, Private,14,40, >50K
40, Private,13,40, >50K
53, Local-gov,15,50, <=50K
75, Self-emp-not-inc,14,50, <=50K
27, Local-gov,13,40, <=50K
30, Private,13,45, <=50K
31, Private,15,80, <=50K
34, Private,14,60, <=50K
36, Private,16,40, <=50K
32, State-gov,14,50, <=50K
63, Self-emp-not-inc,10,10, >50K
49, State-gov,10,40, <=50K
24, Private,13,40, <=50K
37, State-gov,11,40, >50K
22, Private,13,40, <=50K
45, Private,13,46, <=50K
26, Private,13,16, <=50K
52, Private,10,45, >50K
45, Local-gov,14,30, <=50K
47, State-gov,10,50, <=50K
41, Local-gov,14,60, <=50K
54, Local-gov,14,38, <=50K
52, Private,14,40, <=50K
18, Private,7,40, <=50K
31, State-gov,13,40, <=50K
44, Private,14,35, >50K
27, Private,13,40, >50K
34, Private,13,40, >50K
47, Self-emp-not-inc,14,40, <=50K
49, Local-gov,13,50, <=50K
32, Local-gov,13,50, >50K
43, Private,11,40, <=50K
37, State-gov,13,55, >50K
38, Federal-gov,15,50, >50K
29, Local-gov,15,70, <=50K
21, State-gov,10,20, <=50K
27, Local-gov,13,40, <=50K
29, Private,16,40, <=50K
41, Private,14,55, >50K
46, Local-gov,13,35, >50K
53, Private,13,40, >50K
42, Private,10,40, >50K
62, State-gov,14,60, >50K
32, Private,11,40, <=50K
26, Private,15,60, >50K
34, Self-emp-inc,14,40, >50K
61, Local-gov,13,30, <=50K
55, Private,16,40, <=50K
22, Private,13,55, <=50K
53, Private,14,54, >50K
39, Local-gov,14,40, >50K
55, Self-emp-inc,15,35, >50K
31, Private,10,40, <=50K
24, Private,13,40, <=50K
40, Private,16,40, >50K
41, Local-gov,9,40, <=50K
43, Private,16,40, <=50K
22, Local-gov,10,21, <=50K
58, State-gov,16,40, <=50K
24, State-gov,14,13, <=50K
34, Private,13,50, >50K
36, Private,13,45, <=50K
37, Private,11,45, >50K
52, State-gov,14,40, <=50K
42, Local-gov,13,50, <=50K
34, Private,13,40, >50K
26, Federal-gov,15,60, <=50K
48, State-gov,11,56, >50K
38, Private,15,50, <=50K
26, Local-gov,13,28, <=50K
55, Private,10,40, <=50K
61, Local-gov,13,40, <=50K
49, Private,9,42, <=50K
55, State-gov,14,45, >50K
40, State-gov,14,45, <=50K
52, Self-emp-not-inc,15,45, >50K
42, State-gov,14,20, >50K
45, Local-gov,13,50, >50K
28, Private,14,40, >50K
30, Federal-gov,13,40, >50K
62, Private,15,30, >50K
26, Private,10,40, <=50K
49, State-gov,16,60, >50K
59, Private,10,34, <=50K
27, State-gov,14,50, <=50K
28, Private,13,40, <=50K
47, Self-emp-inc,15,60, >50K
36, Private,13,38, <=50K
47, Private,13,40, >50K
35, Private,10,60, <=50K
33, Private,14,20, <=50K
47, State-gov,14,38, <=50K
41, Private,14,40, <=50K
18, Local-gov,8,30, <=50K
39, Private,13,30, <=50K
36, Private,14,60, >50K
58, Self-emp-inc,15,50, >50K
44, Private,15,40, >50K
45, Local-gov,15,40, <=50K
48, Private,13,50, <=50K
20, State-gov,10,20, <=50K
27, Private,10,40, <=50K
40, Self-emp-not-inc,15,45, >50K
35, Private,13,55, <=50K
25, Self-emp-not-inc,13,30, <=50K
41, State-gov,14,35, <=50K
34, Local-gov,13,40, <=50K
21, Private,9,40, <=50K
29, Local-gov,14,40, <=50K
29, Self-emp-not-inc,15,50, >50K
45, Private,13,55, >50K
27, Private,13,42, >50K
53, Private,10,40, <=50K
49, Local-gov,14,50, <=50K
23, Private,13,50, <=50K
42, Private,11,40, >50K
36, Private,13,45, >50K
20, Private,10,25, <=50K
42, Private,13,45, >50K
64, State-gov,16,40, >50K
55, Federal-gov,13,40, >50K
51, State-gov,16,40, >50K
42, Self-emp-inc,15,60, >50K
71, Local-gov,13,6, <=50K
27, State-gov,13,9, <=50K
40, Private,12,40, <=50K
41, Private,9,40, >50K
40, State-gov,15,38, >50K
46, Local-gov,13,70, <=50K
24, Local-gov,13,40, <=50K
45, State-gov,10,40, <=50K
46, Private,15,50, >50K
61, State-gov,16,40, >50K
24, Federal-gov,13,40, <=50K
45, Private,16,56, >50K
64, Federal-gov,12,40, >50K
48, Federal-gov,13,44, >50K
26, Private,13,40, <=50K
24, State-gov,13,15, <=50K
56, Federal-gov,13,40, >50K
33, Private,15,42, >50K
43, Local-gov,14,40, <=50K
38, Private,14,35, >50K
41, State-gov,10,40, <=50K
36, Private,15,45, >50K
54, State-gov,13,40, >50K
59, Private,9,18, <=50K
30, Private,10,40, <=50K
42, Local-gov,13,40, <=50K
46, Local-gov,13,40, >50K
44, Private,13,50, >50K
45, Private,12,38, <=50K
34, Private,13,40, >50K
37, Private,9,40, >50K
30, Private,13,50, >50K
52, Local-gov,13,40, >50K
34, Local-gov,14,50, <=50K
31, Local-gov,16,50, >50K
62, Private,13,50, >50K
56, Private,13,50, <=50K
23, Private,13,38, <=50K
59, Private,14,40, <=50K
63, Private,10,16, <=50K
45, Private,13,60, >50K
36, Private,13,40, >50K
25, Private,13,40, <=50K
40, Self-emp-not-inc,15,70, >50K
38, Private,15,60, <=50K
51, Private,16,60, >50K
45, Private,16,40, >50K
44, Private,13,45, <=50K
61, Self-emp-inc,15,40, >50K
43, Private,13,40, <=50K
39, Local-gov,12,59, <=50K
23, Self-emp-inc,10,50, <=50K
59, Private,14,50, <=50K
38, Private,13,40, >50K
49, Local-gov,13,40, <=50K
21, Private,10,25, <=50K
17, Self-emp-inc,7,20, <=50K
25, Local-gov,13,40, <=50K
38, Local-gov,13,20, >50K
23, Private,13,40, <=50K
43, Local-gov,13,48, <=50K
41, Private,14,40, <=50K
36, Private,11,40, >50K
30, Private,11,40, <=50K
26, Private,14,40, <=50K
31, Private,13,36, <=50K
62, Self-emp-not-inc,13,40, >50K
24, Local-gov,13,50, <=50K
24, Private,13,40, <=50K
68, State-gov,16,60, >50K
53, State-gov,16,50, >50K
37, Self-emp-inc,16,99, >50K
27, Private,15,65, >50K
28, Private,9,40, <=50K
19, Private,13,30, <=50K
32, Private,13,45, <=50K
72, Self-emp-not-inc,16,25, >50K
23, Private,9,40, <=50K
36, Private,14,40, <=50K
32, Private,9,48, <=50K
30, Local-gov,13,40, <=50K
44, State-gov,14,40, >50K
42, Private,15,60, >50K
62, Self-emp-not-inc,13,60, >50K
43, Private,14,50, <=50K
30, Private,13,40, >50K
53, Local-gov,14,35, >50K
34, Local-gov,14,50, <=50K
41, Local-gov,13,20, <=50K
30, Private,11,36, >50K
64, State-gov,14,5, >50K
29, Private,9,30, <=50K
57, Private,15,40, <=50K
40, State-gov,13,20, <=50K
80, Private,10,60, <=50K
32, Federal-gov,15,40, >50K
51, Local-gov,13,45, <=50K
46, Local-gov,13,40, <=50K
46, Private,9,40, <=50K
25, Private,13,40, <=50K
29, Local-gov,14,35, <=50K
48, Private,13,40, >50K
43, Private,10,40, <=50K
52, Self-emp-inc,15,35, >50K
31, Private,13,40, <=50K
63, Private,9,25, <=50K
51, Local-gov,14,60, >50K
50, Federal-gov,9,40, <=50K
57, State-gov,10,40, <=50K
53, Local-gov,13,35, <=50K
49, Private,13,45, <=50K
47, Private,9,50, <=50K
52, Private,10,40, >50K
53, Private,14,40, <=50K
39, Private,12,30, <=50K
63, Local-gov,13,21, <=50K
24, Federal-gov,13,45, <=50K
42, Private,14,40, <=50K
52, Self-emp-not-inc,11,35, <=50K
43, Private,10,45, <=50K
39, Private,13,55, >50K
49, Private,14,40, >50K
50, Private,13,36, <=50K
44, Private,15,40, >50K
59, Local-gov,12,50, <=50K
36, Private,9,40, >50K
34, Self-emp-not-inc,15,48, >50K
29, Self-emp-not-inc,13,40, <=50K
50, Self-emp-inc,15,50, >50K
33, Private,13,40, <=50K
34, Private,13,60, >50K
27, Local-gov,14,52, <=50K
31, Local-gov,14,40, <=50K
40, Local-gov,14,48, >50K
34, Private,10,40, >50K
39, Self-emp-not-inc,15,60, >50K
23, Private,13,40, <=50K
36, Private,13,50, >50K
46, State-gov,10,50, <=50K
33, Private,16,55, >50K
36, Local-gov,13,35, <=50K
22, Private,13,40, <=50K
76, Self-emp-inc,5,40, <=50K
47, Local-gov,14,45, >50K
36, Private,12,48, >50K
26, Private,13,20, <=50K
30, Private,13,60, <=50K
26, State-gov,13,40, <=50K
75, Self-emp-not-inc,16,3, <=50K
34, Private,12,40, <=50K
39, Local-gov,13,50, >50K
32, Private,13,50, >50K
30, Local-gov,13,40, <=50K
46, Private,9,40, <=50K
33, Private,10,40, <=50K
28, Private,15,85, <=50K
35, Private,15,80, >50K
37, Private,11,38, <=50K
36, Private,16,50, <=50K
47, Private,10,40, <=50K
34, Self-emp-inc,15,40, >50K
46, Federal-gov,13,40, >50K
33, Local-gov,14,50, >50K
63, Private,10,12, <=50K
53, Federal-gov,16,60, >50K
22, Private,13,40, >50K
21, Private,10,40, <=50K
31, Self-emp-not-inc,13,50, >50K
46, Private,10,10, <=50K
48, Self-emp-not-inc,13,20, >50K
39, Private,9,50, <=50K
54, Private,13,50, <=50K
43, Private,14,50, >50K
52, State-gov,16,40, >50K
68, Private,16,55, >50K
40, Self-emp-inc,15,50, >50K
43, Self-emp-inc,15,99, >50K
33, State-gov,14,60, <=50K
37, State-gov,13,38, <=50K
51, Private,10,40, >50K
50, Self-emp-not-inc,15,40, >50K
53, State-gov,14,36, >50K
39, Federal-gov,15,55, >50K
25, Private,13,40, <=50K
25, Private,11,36, <=50K
37, Local-gov,13,50, >50K
29, Private,13,50, <=50K
43, Local-gov,13,40, <=50K
57, Local-gov,13,35, <=50K
30, Local-gov,13,40, <=50K
31, Private,13,40, >50K
57, State-gov,14,50, >50K
40, Self-emp-not-inc,13,45, >50K
25, State-gov,9,40, <=50K
32, Local-gov,14,50, <=50K
37, Private,13,40, >50K
43, Private,10,38, <=50K
24, State-gov,14,10, <=50K
38, Private,15,60, >50K
32, Federal-gov,11,40, <=50K
47, Private,15,55, >50K
28, Private,12,40, <=50K
30, Local-gov,13,45, >50K
48, Private,9,38, <=50K
37, Local-gov,12,40, >50K
33, Local-gov,11,60, <=50K
45, Private,9,8, <=50K
38, Local-gov,13,50, >50K
40, State-gov,16,40, <=50K
29, Private,11,40, <=50K
51, Local-gov,14,40, <=50K
38, Private,13,50, >50K
29, Private,13,40, >50K
22, State-gov,13,43, <=50K
33, Private,13,40, >50K
31, Private,16,28, <=50K
30, Local-gov,14,45, >50K
42, Private,14,40, >50K
62, Local-gov,13,40, <=50K
23, Private,13,40, <=50K
32, Federal-gov,13,40, >50K
65, Self-emp-not-inc,15,40, <=50K
21, Private,10,10, <=50K
31, Private,10,50, >50K
37, Private,14,45, <=50K
40, Self-emp-not-inc,10,20, <=50K
51, Federal-gov,16,70, >50K
26, Private,13,40, <=50K
51, Private,13,35, <=50K
57, Federal-gov,10,48, >50K
41, Local-gov,13,40, <=50K
42, Self-emp-not-inc,15,38, >50K
39, Private,9,50, >50K
25, Local-gov,13,40, <=50K
42, State-gov,12,40, <=50K
36, Private,13,50, >50K
37, Self-emp-not-inc,15,50, >50K
44, Local-gov,14,42, <=50K
45, Private,13,50, >50K
55, Local-gov,14,50, <=50K
25, Private,10,8, <=50K
48, State-gov,14,40, >50K
38, Local-gov,10,44, <=50K
60, Federal-gov,10,40, <=50K
17, Local-gov,7,20, <=50K
47, Private,14,35, <=50K
51, Private,13,40, <=50K
19, Private,10,10, <=50K
30, Private,16,40, >50K
56, Private,15,45, >50K
34, Private,15,50, >50K
47, Local-gov,13,40, <=50K
58, Local-gov,10,55, <=50K
47, Self-emp-inc,15,50, >50K
33, State-gov,14,30, <=50K
48, Local-gov,14,40, >50K
44, Local-gov,10,25, <=50K
59, Local-gov,13,40, >50K
42, Self-emp-inc,15,50, >50K
44, State-gov,13,40, <=50K
48, Self-emp-not-inc,10,35, >50K
32, Private,14,40, >50K
57, Local-gov,13,40, >50K
33, Private,16,60, >50K
20, Private,10,15, <=50K
48, Private,16,40, >50K
39, Self-emp-inc,15,65, >50K
49, Private,4,45, <=50K
46, Private,14,60, <=50K
28, Local-gov,14,55, <=50K
42, Local-gov,13,45, >50K
22, Private,11,30, <=50K
49, Local-gov,14,50, >50K
36, Private,13,45, <=50K
43, State-gov,15,50, <=50K
66, Private,11,35, <=50K
40, State-gov,16,40, >50K
76, Self-emp-not-inc,14,30, >50K
41, Local-gov,15,45, >50K
17, Private,6,20, <=50K
30, Private,13,50, <=50K
44, Private,13,50, >50K
54, Federal-gov,10,40, >50K
52, Self-emp-not-inc,10,35, <=50K
50, Private,11,40, <=50K
36, Local-gov,14,40, >50K
22, State-gov,13,12, <=50K
45, Private,16,50, >50K
23, Private,12,40, <=50K
40, Private,14,43, <=50K
47, Self-emp-not-inc,10,55, >50K
80, Private,14,10, <=50K
36, Self-emp-not-inc,16,40, >50K
45, Local-gov,13,45, >50K
47, Private,14,50, >50K
30, Private,14,45, >50K
33, Private,9,48, >50K
25, Private,13,70, <=50K
63, Private,14,40, >50K
43, State-gov,13,40, <=50K
26, Local-gov,14,40, <=50K
57, Private,10,40, >50K
35, Private,11,40, >50K
71, Local-gov,14,40, <=50K
39, Private,13,63, <=50K
44, Private,15,99, <=50K
39, Private,13,40, >50K
55, Private,9,40, >50K
33, Private,14,40, >50K
19, Private,9,40, <=50K
44, Private,15,65, >50K
19, State-gov,10,25, <=50K
49, Private,4,32, <=50K
29, Private,9,40, >50K
33, Private,13,75, >50K
60, Private,14,40, <=50K
33, Local-gov,13,50, >50K
39, Local-gov,13,35, >50K
43, Local-gov,13,39, <=50K
34, State-gov,14,40, >50K
42, State-gov,16,60, >50K
44, State-gov,14,60, >50K
34, State-gov,14,38, >50K
51, Local-gov,14,45, <=50K
27, Private,10,40, >50K
32, Self-emp-not-inc,11,60, <=50K
57, Self-emp-inc,15,60, >50K
29, Private,14,40, >50K
31, Private,13,40, <=50K
59, Private,13,43, >50K
55, Local-gov,11,35, <=50K
47, State-gov,10,20, <=50K
32, Self-emp-not-inc,13,50, >50K
37, State-gov,13,40, <=50K
51, Private,16,40, >50K
30, Private,13,50, <=50K
38, State-gov,13,40, <=50K
32, Private,10,44, <=50K
60, Private,13,35, <=50K
39, Self-emp-not-inc,15,50, >50K
44, Local-gov,14,35, <=50K
43, Self-emp-not-inc,15,30, >50K
37, Federal-gov,16,72, >50K
38, Self-emp-not-inc,15,45, >50K
22, Private,10,10, <=50K
30, Private,13,50, <=50K
56, Self-emp-not-inc,13,40, >50K
48, Private,13,45, >50K
57, Self-emp-not-inc,14,40, >50K
21, Private,10,40, <=50K
54, Private,16,50, >50K
33, Private,10,40, <=50K
42, Private,12,45, <=50K
35, Private,14,50, >50K
41, Private,14,38, >50K
50, Private,14,60, <=50K
64, Private,14,35, <=50K
24, Private,13,40, <=50K
34, State-gov,13,38, >50K
39, Private,13,20, >50K
43, Private,13,45, <=50K
42, Private,14,40, <=50K
41, Private,10,32, >50K
34, Private,13,55, >50K
35, Private,13,50, >50K
39, Private,13,36, >50K
23, Private,13,50, <=50K
27, Private,13,45, <=50K
64, Self-emp-inc,16,60, >50K
45, Private,13,40, >50K
24, Private,13,40, <=50K
51, Private,14,50, >50K
28, Private,13,45, <=50K
29, Private,9,40, >50K
38, Private,13,40, <=50K
26, Private,13,40, <=50K
26, State-gov,13,40, <=50K
47, Local-gov,10,50, >50K
29, Private,13,40, <=50K
42, Private,14,40, <=50K
43, Self-emp-not-inc,13,70, >50K
25, Local-gov,13,40, >50K
26, Private,15,30, <=50K
45, Local-gov,14,55, >50K
63, Private,10,40, <=50K
51, Private,13,45, <=50K
28, Local-gov,14,20, >50K
30, Private,13,40, <=50K
79, Private,16,35, >50K
50, Private,15,60, >50K
38, Private,9,40, <=50K
37, Self-emp-not-inc,13,40, >50K
50, Private,9,60, <=50K
41, Private,13,50, >50K
52, Local-gov,14,40, >50K
25, Self-emp-not-inc,9,40, <=50K
90, Self-emp-not-inc,13,50, <=50K
67, Private,14,60, >50K
33, Private,12,40, <=50K
27, Private,10,48, <=50K
47, Private,11,40, <=50K
27, Private,13,50, <=50K
42, Self-emp-not-inc,14,65, <=50K
24, Private,13,40, <=50K
70, Self-emp-not-inc,15,25, <=50K
22, Private,9,40, <=50K
43, Private,14,40, >50K
58, State-gov,14,50, >50K
29, Private,13,40, <=50K
48, Private,12,50, >50K
66, Private,13,40, >50K
36, Private,13,40, >50K
42, Local-gov,14,45, <=50K
50, Local-gov,14,40, >50K
75, State-gov,16,20, >50K
30, Private,13,40, <=50K
48, Self-emp-inc,15,60, >50K
35, Private,10,40, >50K
64, Private,14,60, <=50K
41, State-gov,13,48, >50K
33, State-gov,10,40, >50K
20, Private,10,35, <=50K
26, Private,13,40, <=50K
37, Private,13,45, >50K
30, Private,15,40, <=50K
29, State-gov,14,40, <=50K
28, Private,13,40, <=50K
55, Private,14,40, >50K
52, Self-emp-inc,15,60, >50K
37, Private,9,38, <=50K
38, Private,6,90, >50K
41, Local-gov,14,40, <=50K
39, Private,13,40, <=50K
49, Local-gov,14,40, <=50K
37, Self-emp-not-inc,13,55, >50K
54, Federal-gov,9,40, >50K
57, Local-gov,14,60, <=50K
28, Private,13,40, >50K
50, Self-emp-inc,15,75, >50K
31, Local-gov,13,40, <=50K
39, Private,14,40, >50K
49, Self-emp-inc,14,80, >50K
63, Self-emp-not-inc,13,40, >50K
35, Private,14,55, >50K
23, State-gov,13,20, <=50K
43, Local-gov,13,55, <=50K
55, Private,16,30, >50K
26, State-gov,15,50, <=50K
26, Private,13,50, >50K
38, Private,14,45, <=50K
45, Private,14,55, >50K
46, Private,12,40, <=50K
33, Private,13,40, >50K
46, Federal-gov,16,50, >50K
43, Self-emp-inc,15,40, >50K
43, Private,13,40, <=50K
31, State-gov,13,35, >50K
36, Private,14,40, <=50K
26, Private,11,60, <=50K
28, Private,9,40, <=50K
42, Private,13,90, <=50K
36, Private,13,45, <=50K
35, Local-gov,13,40, >50K
46, Self-emp-inc,16,60, >50K
25, State-gov,13,40, <=50K
61, Private,13,50, >50K
48, Self-emp-not-inc,10,45, <=50K
40, Self-emp-not-inc,10,60, <=50K
28, Private,13,40, <=50K
31, Private,15,50, >50K
44, State-gov,14,40, >50K
75, Self-emp-not-inc,13,48, >50K
34, Private,13,65, <=50K
54, Self-emp-not-inc,15,50, >50K
44, Local-gov,13,60, <=50K
44, Private,14,45, >50K
38, Self-emp-not-inc,9,50, >50K
33, Local-gov,13,50, <=50K
44, Private,9,40, <=50K
40, Private,13,60, <=50K
47, Local-gov,13,50, >50K
32, Private,9,50, <=50K
45, Private,14,50, <=50K
28, Private,14,45, >50K
39, Local-gov,14,40, <=50K
25, Private,13,40, <=50K
37, Federal-gov,14,40, >50K
58, Private,11,40, <=50K
48, Private,9,8, <=50K
32, Private,13,32, <=50K
43, Local-gov,14,40, >50K
35, Private,11,44, <=50K
33, Private,13,40, <=50K
39, Private,15,45, >50K
37, Self-emp-not-inc,10,40, <=50K
60, Private,9,40, <=50K
48, Local-gov,13,45, <=50K
40, Self-emp-not-inc,12,50, <=50K
27, Private,13,48, <=50K
45, Private,15,40, >50K
45, Private,13,40, <=50K
24, Private,13,40, <=50K
29, Private,10,45, <=50K
47, Local-gov,14,35, >50K
50, Local-gov,14,40, <=50K
29, Private,16,60, <=50K
32, Private,15,40, <=50K
29, Local-gov,14,50, <=50K
44, Private,13,40, <=50K
63, Private,13,36, >50K
57, Local-gov,14,40, >50K
29, Private,16,50, >50K
45, Local-gov,13,40, <=50K
26, State-gov,13,15, <=50K
44, State-gov,14,50, >50K
41, Federal-gov,13,40, <=50K
50, Private,15,36, >50K
20, Self-emp-not-inc,10,20, <=50K
46, Federal-gov,13,50, >50K
42, Federal-gov,11,40, <=50K
38, Local-gov,13,40, >50K
44, Local-gov,14,40, >50K
30, Private,15,50, <=50K
43, Private,13,40, >50K
46, Private,14,50, <=50K
47, Self-emp-not-inc,16,35, >50K
36, State-gov,13,44, <=50K
28, Private,13,45, >50K
42, Self-emp-inc,16,60, >50K
41, Private,14,40, >50K
52, Private,14,50, >50K
52, Private,12,32, <=50K
39, Private,15,60, >50K
24, Private,13,8, <=50K
28, Private,13,35, <=50K
24, Private,13,45, <=50K
41, Local-gov,14,55, <=50K
44, Private,13,40, <=50K
37, Local-gov,13,40, >50K
63, Self-emp-not-inc,13,32, >50K
40, Self-emp-not-inc,15,55, >50K
31, Private,13,40, <=50K
